ingredient,scientific_name,description,who_should_avoid,category,strength
Sunflower Oil,,"Sunflower oil offers benefits such as:
- Provides lightweight and non-greasy moisture to the skin, helping to improve skin hydration and maintain a soft and supple complexion.
- Offers emollient properties, creating a protective barrier on the skin's surface to prevent moisture loss and promote a smooth and silky feel.
- Can help soothe and calm irritated or sensitive skin, making it beneficial for individuals with dry or reactive skin.
- Assists in improving skin texture and promoting a more even and radiant complexion.","[' ', 'Related Allergy', ' ', 'Oily']",,
Spent Grain Wax,,"Spent grain wax offers benefits such as:
- Acts as an effective emollient, forming a protective barrier on the skin's surface to lock in moisture and promote a smooth and soft feel.
- Provides long-lasting hydration to the skin, helping to improve skin moisture retention and maintain a well-hydrated complexion.
- Can help condition the skin, making it beneficial for individuals with dry or rough skin.
- Assists in improving skin texture and promoting a more supple and comfortable feel.","[' ', 'Related Allergy']",,
Sulfur,,"Sulfur offers benefits such as:
- Exhibits potential anti-inflammatory effects, helping to soothe and calm skin conditions such as acne and rosacea.
- Possesses antimicrobial properties, assisting in fighting bacteria and fungi on the skin's surface.
- May regulate excess oil production, making it beneficial for individuals with oily or acne-prone skin.","[' ', 'Related Allergy']",,
Squalane,,"Squalane offers benefits such as:
- Acts as a highly effective emollient, providing immediate and long-lasting hydration to the skin, helping to improve moisture retention and maintain a soft and supple complexion.
- Forms a protective barrier on the skin's surface, preventing moisture loss and protecting the skin from environmental stressors.
- Can help balance oil production, making it beneficial for individuals with oily or acne-prone skin.","[' ', 'Related Allergy']",,
Urea,,"Urea offers benefits such as:
- Acts as an effective moisturizer, helping to hydrate and soften the skin by attracting and retaining water.
- Assists in exfoliation, as it can help to loosen and slough off dead skin cells, promoting a smoother and more refined skin texture.
- Can improve the overall barrier function of the skin, supporting a stronger and healthier skin barrier.
- Helps to alleviate dry and rough skin conditions, making it beneficial for individuals with dry or dehydrated skin.","[' ', 'Related Allergy']",,
Sodium Lactate,,"NMFs offer benefits such as:
- Provide essential hydration to the skin, attracting and retaining moisture from the environment.
- Help maintain the skin's barrier function, preventing excessive water loss and protecting against external irritants.
- Contribute to the suppleness and smoothness of the skin's surface.
- Play a vital role in the overall health and appearance of the skin.","[' ', 'Related Allergy']",,
Turmeric Root Extract,,"Turmeric root extract offers benefits such as:
- Acts as a potent antioxidant, helping to neutralize free radicals and protect the skin from environmental stressors that can lead to premature aging.
- Can help soothe and calm irritated or inflamed skin, making it beneficial for individuals with sensitive or reactive skin.
- Assists in brightening the skin, promoting a more even and radiant complexion.
- Can improve the overall appearance of skin texture, making it beneficial for individuals with concerns about skin roughness or uneven tone.","[' ', 'Related Allergy']",,
Valine,,Helps support the skin barrier and protect against external aggressors. It's great for Dehydrated skin and helping to skin feel smooth and supple.,"[' ', 'Related Allergy']",,
Trehalose,,"NMFs offer benefits such as:
- Provide essential hydration to the skin, attracting and retaining moisture from the environment.
- Help maintain the skin's barrier function, preventing excessive water loss and protecting against external irritants.
- Contribute to the suppleness and smoothness of the skin's surface.
- Play a vital role in the overall health and appearance of the skin.","[' ', 'Related Allergy']",,
Tripleurospermum Maritimum Extract,,Helps to moisturise the skin with some benefits including the treatment of wrinkles and fine lines.,"[' ', 'Related Allergy']",,
Triazine Diethyl Butamidotriazone,,"As with other synthetic UV filters, it works by absorbing UV light in the outer layers of the epidermis, then converting it into heat (to neutralise the energy which can lead to cell damage), and scattering it away from the body.","[' ', 'Pregnancy', ' ', 'Sensitive']",,
Thiamidol,,"Thiamidol offers benefits such as:
- Targets and inhibits melanin production in the skin, helping to reduce the appearance of dark spots and hyperpigmentation.
- Assists in preventing the formation of new dark spots, making it beneficial for individuals with concerns about sun damage and uneven skin tone.
- Can improve the overall clarity and brightness of the skin, promoting a more even and radiant complexion.
- Supports a more uniform and balanced skin tone, contributing to a youthful and healthy-looking appearance.","[' ', 'Related Allergy']",,
Tranexamic Acid,,"Tranexamic acid offers benefits such as:
- Targets and inhibits excess melanin production in the skin, making it effective in reducing the appearance of dark spots and hyperpigmentation.
- Can help improve the overall evenness and clarity of the skin, promoting a more uniform complexion.
- Assists in preventing the formation of new dark spots, making it beneficial for individuals with concerns about sun-induced discolorations or post-inflammatory hyperpigmentation.
- Supports a more balanced and radiant skin tone, contributing to a youthful and healthy-looking appearance.","[' ', 'Related Allergy']",,
Tomato Stem Cells,,"Tomato stem cells offer benefits such as:
- Provides antioxidant protection, helping to neutralize free radicals and defend the skin from environmental stressors that can lead to premature aging.
- Supports the skin's natural repair processes, contributing to a more resilient and rejuvenated complexion.
- Can help improve the overall firmness and elasticity of the skin, promoting a more youthful and toned appearance.
- Assists in protecting the skin from oxidative stress and damage caused by UV rays and pollution.","[' ', 'Related Allergy']",,
Teprenone,,"Teprenone offers benefits such as:
- Supports the skin's natural defense mechanisms against environmental stressors, such as UV rays and pollution.
- Can help improve the skin's moisture retention and barrier function, promoting a well-hydrated and healthier-looking complexion.
- May help improve the overall texture and firmness of the skin, supporting a smoother and more supple complexion.","[' ', 'Related Allergy']",,
Threonine,,Helps support the skin barrier and protect against external aggressors. It's great for Dehydrated skin and helping to skin feel smooth and supple.,"[' ', 'Related Allergy']",,
Zinc Gluconate,,"Zinc salts such as zinc gluconate, zinc PCA and zinc sulphate are used for their anti-inflammatory and sebum regulating properties.","[' ', 'Related Allergy']",,
Tetrahexyldecyl Ascorbate,,Tetrahexyldecyl ascorbate not only reduces dark marks and skin discolorations but also brightens and evens your facial skin tone.,"[' ', 'Related Allergy', ' ', 'Impaired skin barrier']",,
Zinc,,"Zinc offers benefits such as:
- Assists in soothing and calming irritated skin: Zinc has anti-inflammatory properties that can help alleviate redness and irritation.
- Supports wound healing: Zinc is involved in the production of collagen, which is essential for skin repair and wound healing.
- Helps regulate sebum production: Zinc gluconate can help control excess oil production, making it beneficial for individuals with oily or acne-prone skin.","[' ', 'Related Allergy']",,
Yerba Mate Extract,,"Yerba mate extract offers benefits such as:
- Acts as an antioxidant, helping to neutralize free radicals and protect the skin from environmental stressors that can lead to premature aging.
- Assists in soothing and calming the skin, making it beneficial for individuals with sensitive or irritated skin.
- Can help improve the appearance of tired or dull skin, promoting a more vibrant and energized complexion.","[' ', 'Related Allergy']",,
Yeast Amino Acids,,"Helps to maintain firm, youthful skin through promoting collagen production and moisturising the skin. ","[' ', 'Related Allergy']",,
Willow Herb Extract,,"Willow herb extract offers benefits such as:
- Acts as an anti-inflammatory, helping to calm and soothe irritated or sensitive skin, making it beneficial for individuals with skin conditions like redness or rosacea.
- Provides antioxidant benefits, helping to neutralize free radicals and protect the skin from environmental stressors that can lead to premature aging.","[' ', 'Related Allergy']",,
Willow Bark Extract,,"Willow bark extract offers benefits such as:
- Acts as a gentle exfoliant, helping to remove dead skin cells and unclog pores, making it beneficial for individuals with acne-prone or congested skin.
- Assists in soothing and calming the skin, making it beneficial for individuals with sensitive or irritated skin.
- Can help reduce the appearance of redness and inflammation associated with acne or other skin conditions.
- Supports the skin's natural renewal process, contributing to a smoother and more refined skin texture.","[' ', 'Related Allergy', ' ', 'Dry Dehydrated', ' ', 'Impaired skin barrier']",,
Wild Cherry Extract,,"Wild cherry extract offers benefits such as:
- Acts as an antioxidant, helping to neutralize free radicals and protect the skin from environmental stressors that can lead to premature aging.
- Assists in soothing and calming the skin, making it beneficial for individuals with sensitive or irritated skin.","[' ', 'Related Allergy']",,
White Tea,,"White tea offers benefits such as:
- Acts as a potent antioxidant, helping to neutralize free radicals and protect the skin from environmental stressors that can lead to premature aging.
- Assists in soothing and calming the skin, making it beneficial for individuals with sensitive or irritated skin.
- Can improve the overall appearance of the skin, promoting a more radiant and rejuvenated complexion.","[' ', 'Related Allergy']",,
Vitamin K1,,"Vitamin K1 offers benefits such as:
- Supports the skin's natural healing processes, making it beneficial for individuals with post-procedure redness or bruises.
- Can help reduce the appearance of dark circles under the eyes, particularly those caused by blood vessels close to the skin's surface.
- Provides antioxidant benefits, helping to protect the skin from oxidative stress and environmental damage.","[' ', 'Related Allergy']",,
Vitamin E,,"Vitamin E offers benefits such as:
- Acts as a powerful antioxidant, helping to neutralize free radicals and protect the skin from environmental damage, such as UV rays and pollution.
- Supports the skin's natural repair processes, promoting a healthier and more resilient complexion.
- Assists in maintaining the skin's moisture balance, helping to prevent water loss and keep the skin well-hydrated.
- Can improve skin texture and elasticity, contributing to a smoother and more youthful appearance.","[' ', 'Related Allergy']",,
Vitamin C,,"Vitamin C promotes Collagen synthesis, so can help make the skin firmer. It also helps with hyperpigmentation, dark spots, and uneven skin tone as well as preventing damage from the sun by neutralising free radicals.","[' ', 'Related Allergy', ' ', 'Sensitive', ' ', 'Dry Dehydrated', ' ', 'Impaired skin barrier']",,
Vitamin B5,,"Vitamin B5 offers benefits such as:
- Acts as an effective humectant, attracting and retaining moisture in the skin, helping to keep it well-hydrated and plump.
- Can improve skin barrier function, supporting a healthier and stronger skin barrier that helps protect against external aggressors.
- Assists in soothing and calming irritated or inflamed skin, making it beneficial for individuals with sensitive or reactive skin.
- Promotes skin repair and regeneration, contributing to a more revitalized and rejuvenated complexion.","[' ', 'Related Allergy']",,
Vitamin A,,"This ingredient is an antioxidant that stimulates collagen production, treating fine lines, wrinkles and a reduction of elasticity in the skin which can naturally come with aging.  It exfoliates the skin, unclogging  pores, helping treat acne and blemishes and improving the overall appearance of the skin making it smooth and supple. ","[' ', 'Pregnancy', ' ', 'Sensitive', ' ', 'Impaired skin barrier']",,
Vibrio Alginolyticus Ferment Filtrate,,Helps to moisturise the skin with some benefits including the treatment of wrinkles and fine lines.,"[' ', 'Related Allergy']",,
Tea Tree Oil,,"Tea tree oil offers benefits such as:
- Acts as a natural antibacterial agent, helping to combat acne-causing bacteria and prevent breakouts.
- Can help soothe and calm irritated or inflamed skin, making it beneficial for individuals with acne-prone or sensitive skin.
- Provides antifungal properties, which can be useful in addressing certain fungal skin infections.
- Assists in reducing redness and swelling associated with skin conditions, such as acne and minor skin irritations.","[' ', 'Related Allergy']",,
Zinc Sulfate,,"Zinc salts such as zinc gluconate, zinc PCA and zinc sulphate are used for their anti-inflammatory and sebum regulating properties.","[' ', 'Related Allergy']",,
Zinc PCA,,"Zinc salts such as zinc gluconate, zinc PCA and zinc sulphate are used for their anti-inflammatory and sebum regulating properties.","[' ', 'Related Allergy']",,
Neoglucosamine,,"Neoglucosamine offers benefits such as:
- Supports the skin's natural production of hyaluronic acid, contributing to increased hydration and improved skin elasticity.
- Enhances the overall skin barrier function, promoting a healthier and smoother complexion.","[' ', 'Related Allergy', ' ', 'Impaired skin barrier']",,
Taurine,,Helps support the skin barrier and protect against external aggressors. It's great for Dehydrated skin and helping to skin feel smooth and supple.,"[' ', 'Related Allergy']",,
Sodium Ascorbyl Phosphate,,"Sodium ascorbyl phosphate helps brighten the skin, even tone, increases collagen products, fights free radicals, and has antimicrobial benefits.","[' ', 'Related Allergy', ' ', 'Impaired skin barrier']",,
